productCode,productName,productCategory,quantityInStock,buyPrice,MSRP
PROD-0001,Re-engineered next generation Graphical User Interface,Office Supplies,849.0,122.26,189.53
PROD-0002,Monitored mobile pricing structure,Toys,729.0,348.17,843.26
PROD-0003,Exclusive even-keeled strategy,Sports,,345.07,608.13
PROD-0004,Managed 24hour matrices,Health & Beauty,674.0,348.4,714.26
PROD-0005,Optimized responsive hub,Food & Beverages,144.0,233.33,408.23
PROD-0006,Seamless explicit system engine,Books,,217.02,524.59
PROD-0007,Persistent heuristic data-warehouse,Automotive,614.0,98.2,166.22
PROD-0008,Configurable optimal function,Sports,800.0,417.35,632.23
PROD-0009,Visionary directional info-mediaries,Sports,86.0,471.71,637.47
PROD-0010,Multi-channeled grid-enabled capability,Health & Beauty,405.0,236.3,448.51
PROD-0011,Distributed needs-based superstructure,Electronics,845.0,124.06,268.77
PROD-0012,Adaptive 6thgeneration process improvement,Food & Beverages,270.0,421.33,737.62
PROD-0013,Visionary local instruction set,Home & Garden,916.0,158.61,341.23
PROD-0014,Devolved content-based attitude,Food & Beverages,918.0,16.18,24.48
PROD-0015,Cross-platform fresh-thinking capacity,Sports,279.0,40.02,93.57
PROD-0016,Virtual reciprocal moderator,Books,767.0,345.3,704.99
PROD-0017,Future-proofed neutral projection,Electronics,538.0,113.79,169.09
PROD-0018,De-engineered bandwidth-monitored open architecture,Clothing,27.0,367.58,546.91
PROD-0019,Versatile contextually-based software,Office Supplies,36.0,,
PROD-0020,Switchable web-enabled application,Office Supplies,953.0,313.25,475.25
PROD-0021,Profit-focused systemic benchmark,Office Supplies,621.0,279.52,366.65
PROD-0022,Adaptive client-server productivity,Food & Beverages,690.0,180.93,273.83
PROD-0023,Operative eco-centric success,Automotive,508.0,466.29,1148.92
PROD-0024,Horizontal multimedia capacity,Health & Beauty,523.0,21.36,30.67
PROD-0025,Ergonomic neutral knowledge user,Books,422.0,265.57,450.63
PROD-0026,Realigned scalable utilization,Sports,168.0,120.77,233.69
PROD-0027,Multi-channeled composite architecture,Health & Beauty,,78.86,126.43
PROD-0028,Enhanced full-range matrix,Books,577.0,293.41,360.54
PROD-0029,Optimized incremental architecture,Automotive,733.0,247.63,422.12
PROD-0030,Organic systematic model,Home & Garden,717.0,251.37,433.85
PROD-0031,Persevering intermediate pricing structure,Health & Beauty,171.0,101.78,122.3
PROD-0032,Business-focused dedicated secured line,Sports,285.0,27.12,33.74
PROD-0033,Switchable zero tolerance knowledgebase,Health & Beauty,872.0,480.17,903.89
PROD-0034,Quality-focused analyzing algorithm,Office Supplies,305.0,178.63,326.34
PROD-0035,Cross-platform grid-enabled product,Clothing,517.0,461.19,1005.93
PROD-0036,Configurable global secured line,Books,644.0,205.64,285.46
PROD-0037,Assimilated systemic monitoring,Electronics,757.0,322.93,663.29
PROD-0038,Progressive content-based function,Health & Beauty,905.0,163.84,340.02
PROD-0039,Reverse-engineered mobile methodology,Health & Beauty,278.0,301.39,361.71
PROD-0040,Exclusive dedicated time-frame,Automotive,931.0,238.33,312.1
PROD-0041,Future-proofed solution-oriented infrastructure,Clothing,132.0,257.09,601.81
PROD-0042,Inverse foreground access,Office Supplies,23.0,,
PROD-0043,Business-focused interactive groupware,Electronics,31.0,8.39,18.72
PROD-0044,Fundamental tangible definition,Automotive,317.0,,
PROD-0045,Intuitive multi-state benchmark,Electronics,206.0,39.02,49.11
PROD-0046,Extended zero-defect array,Health & Beauty,482.0,312.1,426.42
PROD-0047,Organized clear-thinking focus group,Home & Garden,591.0,117.28,269.53
PROD-0048,Multi-layered bandwidth-monitored hardware,Sports,280.0,458.67,625.31
PROD-0049,Digitized bottom-line workforce,Books,112.0,432.27,810.62
PROD-0050,Visionary tangible website,,783.0,272.4,376.65
PROD-0051,Phased secondary forecast,Toys,269.0,307.41,535.33
PROD-0052,Phased regional process improvement,Toys,931.0,201.7,466.04
PROD-0053,User-friendly object-oriented portal,Clothing,474.0,464.43,1031.97
PROD-0054,Secured exuding contingency,Clothing,749.0,290.92,431.82
PROD-0055,Organized radical attitude,Home & Garden,914.0,98.51,243.15
PROD-0056,Secured modular policy,Automotive,523.0,25.86,48.99
PROD-0057,Face-to-face asynchronous success,Automotive,550.0,420.85,637.48
PROD-0058,Object-based non-volatile archive,Home & Garden,57.0,460.75,1083.91
PROD-0059,Face-to-face upward-trending website,Health & Beauty,231.0,149.15,183.77
PROD-0060,Open-source systemic knowledgebase,Books,130.0,292.58,690.85
PROD-0061,Configurable mobile matrices,Electronics,593.0,483.45,641.27
PROD-0062,Monitored intermediate service-desk,Health & Beauty,528.0,275.25,667.73
PROD-0063,Multi-lateral client-driven complexity,Clothing,703.0,49.05,111.28
PROD-0064,Persevering intermediate throughput,Automotive,548.0,404.54,936.04
PROD-0065,Enterprise-wide next generation moratorium,Clothing,949.0,491.76,910.41
PROD-0066,Realigned zero tolerance alliance,Automotive,401.0,,
PROD-0067,Upgradable executive encoding,Clothing,361.0,42.92,69.69
PROD-0068,Exclusive mobile infrastructure,Electronics,8.0,30.96,69.12
PROD-0069,Vision-oriented system-worthy frame,Books,195.0,284.29,549.27
PROD-0070,Advanced modular complexity,Toys,956.0,23.13,29.18
PROD-0071,Balanced optimal frame,Office Supplies,73.0,252.87,347.49
PROD-0072,Secured 6thgeneration workforce,Sports,557.0,131.28,283.99
PROD-0073,Operative foreground complexity,Books,114.0,41.27,64.59
PROD-0074,Cloned optimal product,Food & Beverages,830.0,160.83,328.73
PROD-0075,Sharable asynchronous website,Health & Beauty,295.0,302.16,626.76
PROD-0076,Function-based mission-critical extranet,Clothing,605.0,194.77,388.08
PROD-0077,Digitized bandwidth-monitored portal,Sports,267.0,7.2,12.48
PROD-0078,Customer-focused dedicated Internet solution,Electronics,29.0,117.09,183.87
PROD-0079,Persevering real-time hierarchy,Automotive,86.0,262.94,626.88
PROD-0080,User-centric composite functionalities,Food & Beverages,798.0,490.78,862.11
PROD-0081,Polarized stable open system,Office Supplies,176.0,442.14,820.41
PROD-0082,Diverse mobile hub,Books,757.0,167.15,301.11
PROD-0083,Face-to-face grid-enabled task-force,Clothing,626.0,291.09,631.97
PROD-0084,Down-sized analyzing complexity,Food & Beverages,48.0,25.15,39.54
PROD-0085,User-centric 24hour matrices,Books,38.0,203.39,349.6
PROD-0086,Customizable background Graphic Interface,Office Supplies,,257.99,508.7
PROD-0087,Innovative actuating model,Sports,537.0,107.37,258.59
PROD-0088,Diverse client-driven intranet,Books,602.0,257.52,386.31
PROD-0089,Quality-focused value-added definition,Health & Beauty,33.0,131.81,181.93
PROD-0090,Down-sized dedicated utilization,Food & Beverages,681.0,89.27,125.19
PROD-0091,Phased mission-critical middleware,Office Supplies,564.0,225.52,467.07
PROD-0092,Visionary disintermediate circuit,Sports,466.0,387.39,772.45
PROD-0093,Diverse upward-trending matrices,Food & Beverages,,153.78,293.24
PROD-0094,Centralized heuristic process improvement,Food & Beverages,583.0,236.18,352.45
PROD-0095,Focused 5thgeneration infrastructure,Sports,183.0,147.24,308.08
PROD-0096,Upgradable tangible portal,Office Supplies,927.0,127.11,280.22
PROD-0097,Switchable optimizing task-force,Clothing,486.0,201.66,403.0
PROD-0098,Grass-roots value-added neural-net,Sports,123.0,302.92,574.68
PROD-0099,Multi-lateral zero administration Graphic Interface,Electronics,241.0,68.01,160.05
PROD-0100,Optional content-based installation,Sports,667.0,467.85,947.93
PROD-0002,Monitored mobile pricing structure,Toys,729.0,348.17,843.26
PROD-0003,Exclusive even-keeled strategy,Sports,,345.07,608.13
PROD-0004,Managed 24hour matrices,Health & Beauty,674.0,348.4,714.26
PROD-0005,Optimized responsive hub,Food & Beverages,144.0,233.33,408.23
